title,slug,category,difficulty,price,rating,review_count,description,image_url,etsy_url,features
"DIY Farmstand Plans: Roadside Produce, Flower, and Bakery Stand (PDF Download)","diy-farmstand-plans-roadside-produce-flower-and-bakery-stand-pdf-download","Furniture","Medium",32.99,4.7,393,"Handcrafted by You, For Your Dream: Build the Perfect Farmstand Today!  With our digital DIY plans, you can easily create a beautiful wooden stand to showcase your fresh produce, artisan goods, or vibrant flowers. Download the Instant PDF Guide and start your building adventure now!  Every farm-fresh egg, every vibrant bouquet, and every loaf of artisan sourdough has a story. Now, it’s time to give that story the beautiful stage it deserves.  These detailed woodworking plans were designed not just to help you build a stand, but to create a charming destination for your passion. Whether you're greeting smiling customers at a roadside stand, becoming the star of the local farmer's market, or setting up a lovely flower cart in your neighborhood, this versatile and portable cart will be your greatest asset.  ✨ Why You'll Love These Plans:  Step-by-Step Simplicity: No complex jargon here! Whether you're a seasoned woodworker or just starting, our easy-to-follow instructions and detailed 3D diagrams will guide you confidently through every cut and screw.  Save Time & Avoid Guesswork: Our complete shopping list and precise cut list mean you'll walk into the hardware store knowing exactly what you need. No wasted trips, no wasted materials.  A Canvas for Your Creativity: Consider this your starting point! Paint it a cheerful color, add a chalkboard sign, or hang a basket for herbs. Our classic design is the perfect foundation for your unique brand and style.  🌱 Perfect For A Variety Of Uses:  Roadside Produce Stand: Showcase your garden's bounty in style.  Egg Selling Stand: A charming and professional display for your fresh eggs.  Flower & Plant Cart: Create an eye-catching mobile nursery for your plants and bouquets.  Bakery & Sourdough Display: A perfect cart for your delicious handmade breads and pastries.  Lemonade or Coffee Bar: The cutest pop-up for neighborhood events and parties!  📦 WHAT YOUR DIGITAL DOWNLOAD INCLUDES:  A comprehensive, multi-page PDF guide.  A complete materials and shopping list.  A detailed cut list  Helpful tips and tricks to ensure a smooth build.  ⚠️ PLEASE NOTE!  This listing is for a DIGITAL PRODUCT ONLY. You are purchasing a PDF file with DIY plans, not a physical farmstand. No physical item will be shipped to you. Upon purchase, the file will be available for instant download in your Etsy account. Due to the nature of digital products, refunds cannot be issued.  You're just one step away from building the stand of your dreams. Click 'Add to Cart' now and start your next favorite project today!","https://i.etsystatic.com/53333782/r/il/7c3d5a/7284359887/il_fullxfull.7284359887_l342.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Digital Download | PDF FileDigital Instructions | Instant Download"
"DIY Garden Pergola Plans | Complete Wood Pergola Build Blueprint & Arbor PDF Download","diy-garden-pergola-plans-complete-wood-pergola-build-blueprint-arbor-pdf-download","Garden","Medium",29.97,4.7,51,"Build a Stunning Outdoor Space with DIY Pergola Plans (Instant Download)  Upgrade your backyard with these professionally designed pergola plans and create a stylish outdoor living area with ease. Whether you're planning a relaxing garden corner or a functional patio shade, this DIY pergola plan gives you everything you need to build a strong and modern structure.  This design combines the beauty of garden pergolas with the durability of wood pergolas, making it perfect for homeowners looking to enhance their outdoor space with a long-lasting solution. The layout is ideal as a corner pergola, offering both comfort and a natural privacy pergola setup.  Perfect for Multiple Outdoor Uses  This versatile design works as:  A modern outdoor pergola for relaxing  A stylish backyard centerpiece  A functional shaded area for gatherings  A custom-built alternative to expensive prefab kits  It also complements other outdoor structures like gazebo templates, garden arbor metric builds, and patio gazebo DIY projects, making it a valuable addition to any landscaping plan.  📐 Pergola Dimensions  Width: 171 inches  Depth: 148 1/2 inches  Height: 93 7/8 inches  📦 What’s Included  This complete woodworking plans package includes:  Step-by-step pergola build instructions  Detailed diy pergola plan with clear diagrams  Full materials list  Accurate cut list  Easy-to-follow measurements  Everything is designed to help you build a sturdy pergola with confidence, even if you’re new to DIY projects.  💡 Why This Plan Stands Out  Unlike generic plans for pergola, this design focuses on:  Space-efficient layout  Modern slatted pergola wall for added privacy  Integrated planter features (perfect for climbing plants)  Clean and professional finish  Whether you're creating a relaxing lounge area or upgrading your landscape, this pergola design delivers both function and visual appeal.  📥 Instant Digital Download  This is a digital product. No physical items will be shipped. You’ll receive high-quality PDF files immediately after purchase so you can start your DIY backyard project right away.  Start building your dream outdoor space today with these premium pergola plans!","https://i.etsystatic.com/53333782/r/il/9a1d4b/7906655602/il_fullxfull.7906655602_blse.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Detailed PDF |  Cut list |  Material list"
"DIY Chaise Lounge Plans: Outdoor Pool Lounger, Adjustable Patio Sunbed (PDF Download)","diy-chaise-lounge-plans-outdoor-pool-lounger-adjustable-patio-sunbed-pdf-download","Garden","Medium",11.7,4.7,298,"Relax in Comfort with DIY Outdoor Chaise Lounge Plans!  Upgrade your outdoor living area with this stylish and functional outdoor chaise project. These detailed wood lounger plans allow you to build a comfortable and durable reclining chair perfect for the garden, patio, or poolside relaxation area.  This design works perfectly as a pool lounger diy project, offering a relaxing seat for sunbathing or reading outdoors. The adjustable design functions as a professional sunbed blueprint, giving you the flexibility to sit upright or recline completely.  Whether you want to build a diy garden chair for your backyard or add premium patio furniture to your outdoor space, these step-by-step woodworking plans guide you through every stage of the project. The finished piece also functions as a comfortable wooden recliner and stylish chaise lounge diy build that looks great beside a pool or on a deck.  This project can be used as pool furniture or as a relaxing outdoor chair plan for any outdoor environment. The design is also provided as an outdoor lounge pdf, making it easy to download and follow while building. If you're searching for durable wood chair plans, this adjustable lounger is the perfect project for DIY woodworkers.  📐 CHAISE LOUNGE DIMENSIONS Width: 91 3/4 inches Depth: 63 3/16 inches Height: 16 1/2 inches  🛠 WHAT YOU WILL RECEIVE Step-by-Step Building Instructions Clear diagrams and easy guidance to complete your chaise lounge diy project.  Complete Material List Everything needed to build your wood lounger plans project.  Detailed Cut List Accurate measurements to help reduce wood waste.  Assembly Instructions Tips for creating a strong reclining frame and comfortable wooden recliner design.  💡 WHY BUILD IT YOURSELF? Buying high-quality patio furniture or pool furniture can be expensive. By using these woodworking plans, you can build a durable outdoor lounger with premium materials while saving money. This pool lounger diy project also allows you to customize the wood finish to perfectly match your outdoor space.  ⚠ IMPORTANT NOTE  This listing is a DIGITAL DOWNLOAD only. No physical outdoor chaise, hardware, or lumber will be shipped. You will receive printable PDF woodworking plans instantly after purchase.","https://i.etsystatic.com/53333782/r/il/8aef9a/7854883759/il_fullxfull.7854883759_v8hj.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Digital Download | PDF File | Digital Instructions"
"DIY Mobile Workbench Plans PDF, Extra Long Garage Workstation, Rolling Shop Table Blueprint","diy-mobile-workbench-plans-pdf-extra-long-garage-workstation-rolling-shop-table-blueprint","Furniture","Medium",14.97,4.6,71,"🔨 Build a Heavy-Duty 96” Mobile Shop Table  Upgrade your garage with this extra-long mobile shop table designed for serious DIY projects, woodworking, repairs, and everyday workshop tasks.  These step-by-step PDF plans help you build a professional rolling tool bench with a full lower storage shelf, smooth caster mobility, and a spacious 96-inch work surface.  Perfect as a garage workstation, this bench offers plenty of room for cutting, sanding, assembly, repairs, and tool organization.  Whether you need a 96 inch workbench, assembly table DIY project, or a durable heavy duty bench, these woodworking plans are built for long-term use and easy construction.  📏 DIMENSIONS Length: 96 inches Width: 26 inches Height: 35 inches  A perfect size for garages, small shops, workshops, and home DIY studios.  🛠️ FEATURES Extra-long work surface Full workshop storage shelf Strong lumber shelf bench base Easy-roll heavy-duty casters Durable frame construction Great caster work table design Beginner-friendly build process  The lower shelf also works great as a tool organizer bench space for power tools, clamps, and supplies.  📥 WHAT’S INCLUDED  Your digital PDF download includes:  Detailed step-by-step instructions Full shopping list Precise cut list Clear professional diagrams Easy measurements Beginner-friendly assembly tips  Perfect for DIY garage build projects and anyone looking for beginner wood plans.  ⚠️ IMPORTANT  This listing is for a DIGITAL DOWNLOAD ONLY.  No physical workbench, lumber, hardware, or tools are included.  Your files will be available for instant Etsy download after purchase.  Build your own professional rolling garage workstation today.","https://i.etsystatic.com/53333782/r/il/23e96d/7905798000/il_fullxfull.7905798000_3oaw.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Detailed PDF |  Cut list |  Material list"
"DIY Outdoor Ping Pong Table Plans | Foldable Wooden Table Tennis Blueprint PDF Download","diy-outdoor-ping-pong-table-plans-foldable-wooden-table-tennis-blueprint-pdf-download","Garden","Easy",21.63,5,322,"Build a professional-grade outdoor ping pong table with these complete  woodworking plans — a modern diy ping pong table design with sturdy angled  legs, a perfectly level playing surface, and a sleek wooden finish that  outperforms any standard folding metal table.  These ping pong table plans are built around real playing standards. The  table tennis plan dimensions match regulation size, so every game feels  right whether you're playing casually in the backyard or hosting a  competitive game night. The foldable table plan design lets you store the  table flat against a wall or in a garage — no permanent footprint required.  The portable ping pong format makes this ideal for patios, decks, and  garden setups. Remove the net and it doubles as an outdoor dining table  for gatherings — one of the most versatile outdoor game table builds in  this format. Looking for a foldable table PDF that covers every detail?  This ping pong blueprint includes 3D illustrations, a full cut list, and  a complete materials list from surface board to net hardware.  This diy table plans package works equally well as a diy furniture pdf  starting point if you're building out a full game room or backyard  entertainment space. The same construction method applies to other wood  table plans projects like a wooden game table, diy pool table surround,  or bar stool frames for the game area.  The table tennis diy build uses standard lumber throughout — no specialist  materials, no custom hardware. The backyard sports plan format means  everything on the shopping list is available at any hardware store. If  you've been searching for outdoor furniture that actually gets used, a  game table plans project like this one delivers more value per build than  almost anything else in the category.  Also great alongside skeeball builds, outdoor ping pong tournament setups,  or as a diy pong table for backyard parties. The woodworking plans are  written in plain English with imperial measurements and 3D diagrams at  every key assembly stage.  📐 TABLE DIMENSIONS: Overall Width: 102 inches Overall Depth: 48 inches Overall Height: 38 1/16 inches  📦 WHAT'S INCLUDED: Step-by-step instructions with 3D diagrams Complete materials and shopping list Precise cut list to minimize waste Net and paddle storage options Assembly tips for a perfectly level playing surface Imperial measurements throughout  ⚠️ Plans are in English and imperial measurements only. No physical items, paddles, nets, or lumber are shipped.  — DIGITAL DOWNLOAD ONLY — PDF delivered instantly to your Etsy account after purchase.","https://i.etsystatic.com/53333782/r/il/f21a78/7953154533/il_fullxfull.7953154533_n68y.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Detailed PDF |  Cut list |  Material list"
"DIY Collapsible Charcuterie Cart Plans: Mobile Bar Cart (PDF)","diy-collapsible-charcuterie-cart-plans-mobile-bar-cart-pdf","Decoration","Medium",30.99,4.6,345,"Build your own DIY collapsible charcuterie cart with these step-by-step cart plans for woodworking enthusiasts. Perfect for anyone who loves woodworking, this guide shows you how to create a foldable, mobile cart that works as a bar cart, wedding cart, party cart, vendor cart, coffee cart, beverage cart, or custom food cart.  The plans include:  Easy-to-follow woodworking instructions with detailed 3D illustrations  A complete cut list and wood layout for your DIY cart project  A full tool list to help both beginners and advanced woodworkers  Tips to build a collapsible cart that folds for convenient storage  Links to accessories and optional video tutorials  Whether you’re preparing a wedding party beverage stand, mobile bar, vendor display cart, catering cart, or charcuterie food cart, these plans are versatile and adaptable. The foldable design makes it portable and easy to transport, while the strong woodworking layout ensures durability.  ✨ Customization available: CNC files and top design changes can be requested free of charge after purchase.  With this project, you can transform simple woodworking materials into a stylish and functional DIY bar cart, food cart, or beverage display stand.","https://i.etsystatic.com/53333782/r/il/3c8e15/7275894367/il_fullxfull.7275894367_pn6h.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Wood | Reclaimed wood | Olive wood"
"DIY Playhouse Plans: 2-Story Elevated Kids Clubhouse, Backyard Fort Playground (PDF Download)","diy-playhouse-plans-2-story-elevated-kids-clubhouse-backyard-fort-playground-pdf-download","Garden","Easy",32.99,4.6,385,"Build an Amazing Backyard Adventure with DIY Playhouse Plans!  Create the perfect outdoor adventure space for your children with these detailed playhouse plans. This large two-story structure combines the fun of a diy playhouse, a kids clubhouse diy hideout, and a complete backyard playground all in one exciting project.  This design works as a beautiful outdoor play house that kids will love spending time in. The elevated structure creates the feeling of a classic tree house plans build while remaining stable and safe for your yard. The raised design makes it a true elevated playhouse that adds character and excitement to any outdoor space.  Whether you want playset plans for your family or a durable wooden playhouse project for the backyard, these step-by-step woodworking plans guide you through the entire building process. The finished structure also functions as a fun kids fort plans hideout and a spacious large playhouse where multiple children can play together.  This playhouse outdoor design transforms your yard into a private backyard playground, giving kids their own adventure zone for imagination, games, and outdoor fun.  📐 PLAYHOUSE DIMENSIONS Width: 211 1/2 inches Depth (including slide): 148 inches Height: 223 13/16 inches  🛠 WHAT YOU WILL RECEIVE Detailed Step-by-Step Plans Easy to follow instructions with clear diagrams for building your diy playhouse.  Complete Material List All lumber and hardware needed for the wooden playhouse build.  Precise Cut List Optimized measurements to reduce waste and simplify construction.  Assembly Guidance Tips for building a safe and stable elevated playhouse structure.  💡 WHY BUILD IT YOURSELF? Prebuilt playhouse outdoor sets can cost thousands of dollars and often use thin materials. By building your own large playhouse using these woodworking plans, you get a stronger structure, better materials, and a custom backyard playground your kids will enjoy for years.  ⚠ IMPORTANT: This listing is for a DIGITAL DOWNLOAD only. No physical playset, lumber, hardware, or slide will be shipped. You will receive PDF woodworking plans instantly after purchase.","https://i.etsystatic.com/53333782/r/il/452231/7854097739/il_fullxfull.7854097739_xr9j.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Digital Download | PDF File | Digital Instructions"
"Rustic 3 Tier Wooden Plant Stand Plans, A-Frame Garden Shelf (PDF Download)","rustic-3-tier-wooden-plant-stand-plans-a-frame-garden-shelf-pdf-download","Garden","Medium",14.97,4.9,47,"🌿 Build a Stylish Tiered Plant Stand for Any Space  Bring your plants to life with these beautifully detailed plant stand woodworking plans, designed to help you build a sturdy and elegant A frame plant stand for indoor or outdoor use.  This DIY project works perfectly as a plant stand patio display, balcony shelf, or decorative garden feature. Whether you're looking for DIY planter stand designs, a plant stand DIY plan, or a practical 3 tier wood outdoor planter, these step-by-step blueprints make the process simple and enjoyable.  The tiered A-frame structure creates the perfect 3-tier garden box style layout, allowing you to organize herbs, flowers, succulents, and decorative pots while maximizing vertical space.  It’s ideal as a plant stand indoor tiered blueprints project for apartment corners, sunrooms, kitchens, or a beautiful indoor plant stand modular plan setup.  🌸 Perfect for Flowers, Herbs & Decorative Displays  These plans are great for building:  a decorative wood flowerpot plans display a practical flower planters wood shelf a stepped planter woodwork feature a rustic outsideplant stands setup an outdoor wooden flower holder plans display a stylish vertical herb shelf a succulent display a farmhouse-inspired terrace shelf  The design also pairs beautifully with farmhouse decor, balcony decor, boho patio decor, and cozy cottage garden styling.  📐 DIMENSIONS Width: 42 inches Depth: 18 1/8 inches Height: 42 1/2 inches  A practical size for patios, balconies, porches, terraces, and indoor corners.  🛠️ WHAT’S INCLUDED  Your instant PDF download includes:  Detailed step-by-step building instructions Easy-to-follow 3D diagrams Full lumber and shopping list Precise cut list Measurements for every section Helpful assembly tips Beginner-friendly woodworking guidance  Perfect for both beginner and advanced DIY builders.  ✨ WHY CUSTOMERS LOVE IT Elegant A frame plant stand design Perfect 3 tier shelf layout Excellent for sunlight and airflow Great for small space garden areas Beautiful as a flower pot rack Strong rustic wood structure Indoor and outdoor versatility  Some customers even customize it with signs inspired by welcome woodworking plant sign projects or adapt it as a decorative wooden ladder for fence style garden shelf.  🎁 PERFECT GIFT FOR PLANT LOVERS  This woodworking plan makes a thoughtful gift for plant lover, DIY enthusiast, gardener, or anyone who loves stylish rustic decor.  Ideal for birthdays, Mother’s Day, housewarming gifts, and creative hobbyists.  ⚠️ PLEASE NOTE  This is a DIGITAL DOWNLOAD ONLY.  No physical item, lumber, flowers, or pots are included.  Your files will be available for instant Etsy download immediately after purchase.  Build your own elegant plant display today with these premium plant stand woodworking plans.","https://i.etsystatic.com/53333782/r/il/bfcad9/7904489552/il_fullxfull.7904489552_ltok.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Detailed PDF |  Cut list |  Material list"
"DIY Wooden Playhouse Plans with Slide and Swings | Backyard Kids Playground | Step-by-Step PDF","diy-wooden-playhouse-plans-with-slide-and-swings-backyard-kids-playground-step-by-step-pdf","Kids","Easy",23.3,4.6,272,"Build an incredible backyard playhouse for your kids with these detailed  step-by-step woodworking plans — a complete diy kids playhouse design with  slide, swings, and a treehouse-style deck that turns any backyard into a  full children's playground.  These playhouse plans were developed with input from a kindergarten teacher  and child development specialist, making this one of the most thoughtfully  designed backyard playhouse builds available. Whether you're looking for  enclosed playhouse plans for year-round use, a swingset playhouse combo for  active kids, or a modern playhouse with clean architectural lines, this  design covers it all.  The swingset with slides layout is fully integrated into the structure — no  separate frame needed. The plan maison de jeu style design gives it a  charming, European aesthetic that fits naturally into any garden or forest  play house setting. Prefer a more rugged look? The same frame adapts  beautifully as fort treehouse plans or outdoor playfort plans with minor  modifications.  This playhouse swing set plans package is drawn by a professional architect  and includes both 3D visuals and 2D drawings with letter codes and color  guides for easy reading. Every part is individually sized and labeled —  perfect for anyone searching for plans to build a playhouse without prior  construction experience.  Want to add challenge features later? The tower plans section of the build  is compatible with playset plans ninja rope attachments and additional  climbing elements. The sturdy wooden frame also works as a diy treehouse kit  foundation if you want to expand into an elevated platform down the line.  Also suitable as a children shed, a lemonade stand base structure, or a  play house outdoor plans starting point for a larger backyard build. The  treehouse instructions are written in plain language — no architectural  background required.  Looking for something cozier? The same structural approach works for  playhouse plans insulated scandinavian style builds with added wall panels  for year-round use in colder climates.  📐 PLAYSET DIMENSIONS: Overall Width: 279 7/8 inches Overall Depth: 63 1/2 inches Overall Height: 153 inches  📦 WHAT'S INCLUDED: Step-by-step illustrated instructions Feet/inch plans Lumber list and cut list 3D visuals and 2D architectural drawings Color-coded assembly diagrams with letter references  ⚠️ Hardware list is not included. Plans are in English and imperial measurements only. All parts are individually drawn and dimensioned.  — DIGITAL DOWNLOAD ONLY — PDF delivered instantly to your Etsy account after purchase. No physical items are shipped. Contact us directly if you have any questions about the build process.","https://i.etsystatic.com/53333782/r/il/80435d/7951826745/il_fullxfull.7951826745_bcz1.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Detailed PDF |  Cut list |  Material list"
"Portable Charcuterie Cart DIY Plans: Folding Bar, Coffee, Vendor Cart (PDF)","portable-charcuterie-cart-diy-plans-folding-bar-coffee-vendor-cart-pdf","Furniture","Easy",28.99,4.6,427,"🍷 Build Your Own Portable Charcuterie & Food Cart – DIY Digital Plans (PDF Download)  Craft the ultimate serving cart for events, weddings, or markets with this Portable Charcuterie Cart Plan! Designed for both function and beauty, this DIY blueprint helps you build a foldable food, beverage, or dessert cart that rolls anywhere with style and ease.  This is a digital download (PDF woodworking plan) — no physical product will be shipped.  ✨ Why You’ll Love These DIY Cart Plans:  Versatile Design: Perfect as a charcuterie cart, coffee bar, vendor stand, or mobile bar cart.  Foldable & Portable: Features two folding wings and heavy-duty locking casters for easy movement and storage.  Professional Look: Create a polished, event-ready serving cart that’s both functional and visually stunning.  Highly Customizable: Choose from six countertop layouts — ideal for food service, beverage display, or dessert presentation.  Beginner-Friendly: Step-by-step guide with clear measurements, diagrams, and instructions.  🪑 Perfect For:  Event Hosts – Use it as a mobile bar, dessert, or coffee cart for weddings and parties.  Vendors & Entrepreneurs – Showcase your brand at farmers’ markets or pop-up events with a custom food cart.  Home Entertainers – Build your own beverage or charcuterie cart for family gatherings.  DIY Enthusiasts – Enjoy a satisfying woodworking project that’s both beautiful and useful.  📦 Your Digital Download Includes:  Detailed PDF woodworking plan  Cut list with labeled parts and inch measurements  Complete shopping list for tools and hardware  Step-by-step illustrated instructions  Six countertop options for maximum flexibility  Designed for standard materials and tools  🧰 Features:  Foldable side wings for added serving space  Locking caster wheels for mobility and stability  Optional layouts for charcuterie boards, beverage tubs, or dessert trays  Clean, modern aesthetic adaptable to any theme or décor  ⚠️ Please Note: This listing is for a digital PDF plan only — no physical cart will be shipped. Instant download is available immediately after purchase. Due to the nature of digital items, refunds are not available.  💡 Start Building Today! Turn your next event, café setup, or market booth into a showpiece with this Portable Charcuterie & Food Cart DIY Plan — where style meets craftsmanship and creativity rolls on wheels.","https://i.etsystatic.com/53333782/r/il/e1d7df/7229359772/il_fullxfull.7229359772_l4jp.jpg","https://www.etsy.com/shop/ElesWoodDesigns","Digital Download | PDF File | Digital Instructions"
